feature,importance,fold
X1,47.8,1
X2,168.8,1
X3,0.4,1
X4,0.6,1
X5,0.0,1
X6,178.8,1
X7,86.6,1
X8,94.0,1
X9,109.6,1
X10,65.6,1
X11,66.6,1
X12,123.2,1
X13,43.8,1
X14,50.2,1
X15,12.2,1
X16,9.2,1
X17,10.8,1
X18,39.6,1
X19,33.4,1
X20,26.8,1
X21,15.0,1
X22,8.0,1
X23,13.8,1
X24,0.0,1
X25,18.6,1
X26,0.6,1
X27,0.0,1
X28,0.6,1
X29,8.6,1
X30,7.6,1
X31,24.6,1
X32,15.4,1
X33,9.8,1
X34,85.8,1
X35,49.2,1
X36,45.8,1
X37,132.2,1
X38,7.6,1
X39,73.8,1
X40,0.0,1
X41,49.6,1
X42,4.0,1
X43,6.8,1
arpu_incre_1,168.8,1
arpu_incre_2,93.2,1
arpu_incre_3,64.6,1
arpu_rate_1,103.0,1
arpu_rate_2,47.2,1
arpu_rate_3,61.0,1
dou_incre_1,88.0,1
mou_incre_1,83.0,1
dangyue_arpu,81.2,1
dangyue_dou,109.6,1
dangyue_mou,180.8,1
mou_dou_1,72.2,1
taocan_arpu_1,127.4,1
taocan_arpu_2,102.8,1
yuyin_mean,5.0,1
liuliang_mean,3.0,1
yuyin_incre_1,53.4,1
liuliang_incre_1,18.4,1
baohe_mean,7.0,1
baohe_incre_1,69.6,1
dangyue_yuyin,48.2,1
liuliang_yuyin,24.2,1
dangyue_baohe,61.0,1
arpu_qushi,56.4,1
dou_qushi,117.4,1
mou_qushi,132.6,1
yuyin_qushi,63.0,1
liuliang_qushi,29.6,1
baohe_qushi,46.8,1
X38_flag,1.8,1
5G_num,57.4,1
X3_count,2.4,1
X5_count,1.0,1
X26_count,0.8,1
X33_bin_count,1.0,1
X4-mean_gb_X3,5.4,1
X4-min_gb_X3,1.2,1
X4-max_gb_X3,3.0,1
X4/sum_gb_X3,11.0,1
X15-mean_gb_X3,100.4,1
X15-min_gb_X3,41.8,1
X15-max_gb_X3,81.2,1
X15/sum_gb_X3,75.6,1
X16-mean_gb_X3,61.2,1
X16-min_gb_X3,27.8,1
X16-max_gb_X3,42.6,1
X16/sum_gb_X3,47.2,1
X17-mean_gb_X3,56.8,1
X17-min_gb_X3,34.0,1
X17-max_gb_X3,91.6,1
X17/sum_gb_X3,63.2,1
X32-mean_gb_X3,38.0,1
X32-min_gb_X3,15.6,1
X32-max_gb_X3,26.2,1
X32/sum_gb_X3,34.2,1
X33-mean_gb_X3,32.2,1
X33-min_gb_X3,9.8,1
X33-max_gb_X3,16.2,1
X33/sum_gb_X3,27.0,1
X38-mean_gb_X3,9.2,1
X38-min_gb_X3,36.4,1
X38-max_gb_X3,16.0,1
X38/sum_gb_X3,18.2,1
yuyin_mean-mean_gb_X3,33.8,1
yuyin_mean-min_gb_X3,17.2,1
